"","marr","wage","exper","age","educ","games","minutes","guard","forward","center","points","rebounds","assists","draft","allstar","avgmin","lwage","black","children","expersq","agesq","marrblck"
"1",1,1.00249993801117,4,27,4,77,2867,1,0,0,15.5,3.90000009536743,4.5,19,0,37.2337646484375,2.30508208274841,1,0,16,729,1
"2",1,2.02999997138977,5,28,4,78,2789,1,0,0,13.3000001907349,2.5,8.80000019073486,28,0,35.7564086914062,3.01062083244324,1,1,25,784,1
"3",0,0.649999976158142,1,25,4,74,1149,0,0,1,5.5,3.29999995231628,0.200000002980232,19,0,15.527027130127,1.8718022108078,1,0,1,625,0
"4",1,1.04999995231628,5,29,4,82,2322,1,0,0,11.6000003814697,4,NA,21,0,28.3170738220215,2.35137534141541,1,1,25,841,1
"5",0,2.02999997138977,5,28,4,47,1178,0,1,0,7.30000019073486,5.09999990463257,1.5,1,0,25.0638294219971,3.01062083244324,1,0,25,784,0
"6",0,0.754999995231628,3,24,4,82,2096,1,0,0,10.8000001907349,4.30000019073486,2.59999990463257,24,0,25.5609760284424,2.02154755592346,1,0,9,576,0
"7",0,2.0145001411438,9,31,4,82,1971,0,1,0,11.3000001907349,4.90000009536743,1.5,4,0,24.036584854126,3.00295615196228,1,0,81,961,0
"8",1,1.06499993801117,1,28,0,80,2303,0,1,0,15.1000003814697,7.19999980926514,1.39999997615814,40,0,28.7875003814697,2.36555981636047,0,0,1,784,0
"9",0,0.419999986886978,3,27,3,67,1131,0,1,0,6.59999990463257,4.19999980926514,0.699999988079071,47,0,16.8805961608887,1.43508458137512,1,0,9,729,0
"10",1,0.150000005960464,1,25,4,60,542,1,0,0,3.09999990463257,0.699999988079071,2,0,0,9.03333377838135,0.405465096235275,1,0,1,625,1
"11",1,3.04999995231628,12,35,3,74,2700,0,1,0,26,6.5,2.29999995231628,3,1,36.4864883422852,3.41772675514221,1,1,144,1225,1
"12",1,1.03090000152588,9,31,4,70,2337,1,0,0,12.1000003814697,2.59999990463257,6.90000009536743,66,0,33.3857154846191,2.33301734924316,1,1,81,961,1
"13",0,0.182000011205673,2,25,4,74,983,1,0,0,3.40000009536743,1.20000004768372,2.20000004768372,35,0,13.2837839126587,0.598836481571198,0,0,4,625,0
"14",1,0.899999976158142,7,29,4,77,2746,1,0,0,10.8000001907349,4.09999990463257,10.1000003814697,12,0,35.6623382568359,2.19722461700439,1,1,49,841,1
"15",0,0.850000023841858,1,23,4,51,767,0,1,0,4.80000019073486,2.59999990463257,1.20000004768372,20,0,15.0392160415649,2.14006614685059,1,0,1,529,0
"16",1,1.00399994850159,8,30,4,82,2173,1,0,0,16.2999992370605,3.20000004768372,2.70000004768372,15,0,26.5,2.30657720565796,1,1,64,900,1
"17",1,NA,7,30,4,77,1644,0,1,0,7.69999980926514,4.59999990463257,1.20000004768372,55,0,21.3506488800049,NA,1,1,49,900,1
"18",1,2.03999996185303,6,28,4,82,2648,1,0,0,14.3999996185303,4.59999990463257,2.59999990463257,6,0,32.2926826477051,3.0155348777771,1,1,36,784,1
"19",1,3.125,3,25,4,51,1757,0,1,0,16.3999996185303,8.80000019073486,3.59999990463257,1,1,34.4509811401367,3.44201946258545,1,0,9,625,1
"20",0,3.12000012397766,2,24,4,60,2018,0,0,1,21.5,10.1999998092651,1.39999997615814,2,1,33.6333351135254,3.44041800498962,1,0,4,576,0
"21",0,4,18,41,4,74,1987,0,0,1,11.6999998092651,7.30000019073486,1.10000002384186,8,0,26.8513507843018,3.68887948989868,1,0,324,1681,0
"22",0,0.569999992847443,8,30,4,50,1005,1,0,0,6.19999980926514,2.70000004768372,2.09999990463257,44,0,20.1000003814697,1.74046611785889,1,0,64,900,0
"23",0,0.620000004768372,6,27,4,82,2770,1,0,0,14.8000001907349,2.09999990463257,4,18,1,33.7804870605469,1.82454931735992,1,0,36,729,0
"24",0,NA,1,25,4,67,690,0,1,0,3,2.90000009536743,0.800000011920929,25,0,10.2985076904297,NA,1,0,1,625,0
"25",0,0.150000005960464,3,25,4,36,419,1,0,0,3.59999990463257,1.29999995231628,1,0,0,11.6388893127441,0.405465096235275,1,0,9,625,0
"26",1,4,8,31,0,75,2856,1,0,0,20.1000003814697,6.09999990463257,4.59999990463257,8,0,38.0800018310547,3.68887948989868,1,1,64,961,1
"27",1,0.150000005960464,7,29,4,82,2036,1,0,0,NA,1.60000002384186,2.59999990463257,50,0,24.8292675018311,0.405465096235275,0,1,49,841,0
"28",0,0.150000005960464,8,30,4,34,682,0,1,0,5.09999990463257,3.59999990463257,1,28,0,20.0588226318359,0.405465096235275,0,0,64,900,0
"29",1,1.0074999332428,1,26,0,75,1808,0,1,0,10.8999996185303,4,3.40000009536743,29,0,24.1066665649414,2.31005716323853,0,1,1,676,0
"30",1,1.05900001525879,4,26,4,76,1502,0,0,1,6.90000009536743,5.69999980926514,1.39999997615814,7,0,19.7631587982178,2.35991024971008,0,1,16,676,0
"31",1,1.01999998092651,7,29,4,43,397,0,0,1,2.70000004768372,2.90000009536743,0.800000011920929,11,0,9.23255825042725,2.3223876953125,0,0,49,841,0
"32",1,3.00750017166138,8,29,4,72,2759,1,0,0,22,8.69999980926514,5.59999990463257,5,1,38.3194427490234,3.40369415283203,1,1,64,841,1
"33",1,0.150000005960464,8,31,4,76,1371,0,0,1,7.09999990463257,4.59999990463257,0.899999976158142,16,0,18.0394744873047,0.405465096235275,0,1,64,961,0
"34",1,1.12000000476837,9,31,4,51,814,1,0,0,6.59999990463257,0.800000011920929,1.60000002384186,84,0,15.9607839584351,2.41591382026672,1,0,81,961,1
"35",0,0.839999973773956,3,24,3,73,1548,1,0,0,8.30000019073486,2.20000004768372,3.79999995231628,11,0,21.2054786682129,2.12823176383972,1,0,9,576,0
"36",0,1.05019998550415,10,32,4,82,1708,0,1,0,4.59999990463257,5.40000009536743,0.5,14,0,20.8292675018311,2.35156559944153,1,0,100,1024,0
"37",1,3.54099988937378,8,28,4,50,1838,0,0,1,17,10.1999998092651,3,1,0,36.7599983215332,3.56699419021606,1,1,64,784,1
"38",0,3.54299998283386,4,27,4,70,965,0,1,0,5,2,1.10000002384186,2,0,13.7857141494751,3.56755900382996,0,0,16,729,0
"39",0,1.07500004768372,4,26,4,57,1447,0,1,0,10.6000003814697,8.80000019073486,0.800000011920929,11,0,25.38596534729,2.37490582466125,1,0,16,676,0
"40",1,0.474999994039536,1,25,4,22,149,1,0,0,1.60000002384186,0.5,0.899999976158142,0,0,6.77272748947144,1.55814456939697,1,0,1,625,1
"41",0,0.850000023841858,1,24,4,79,2022,0,1,0,9.39999961853027,5.09999990463257,1.60000002384186,22,0,25.5949363708496,2.14006614685059,1,0,1,576,0
"42",1,0.311999976634979,3,24,4,72,1531,1,0,0,8.30000019073486,2.90000009536743,1.79999995231628,45,0,21.2638893127441,1.13783299922943,1,1,9,576,1
"43",1,2.84999990463257,8,30,4,76,2386,1,0,0,17.2999992370605,3,7.80000019073486,25,1,31.3947372436523,3.34990406036377,0,1,64,900,0
"44",1,2.27800011634827,9,31,4,82,2768,1,0,0,14.3000001907349,3.70000004768372,3.09999990463257,47,0,33.7560958862305,3.12588286399841,1,1,81,961,1
"45",1,4.57000017166138,8,32,4,76,2660,0,1,0,13.6999998092651,7.59999990463257,2.5,45,0,35,3.82209825515747,1,0,64,1024,1
"46",0,1.20000004768372,6,27,4,15,286,0,1,0,3.70000004768372,4.90000009536743,0.400000005960464,0,0,19.0666675567627,2.4849066734314,1,0,36,729,0
"47",0,0.349999994039536,2,24,4,77,1165,1,0,0,5.40000009536743,2,1.39999997615814,28,0,15.1298704147339,1.25276291370392,1,0,4,576,0
"48",0,0.844999969005585,4,25,3,50,428,0,0,1,2.70000004768372,1.89999997615814,0.600000023841858,33,0,8.5600004196167,2.13416647911072,1,0,16,625,0
"49",0,2,3,24,3,82,3066,1,0,0,19.2000007629395,4.69999980926514,4.59999990463257,4,0,37.3902435302734,2.99573230743408,1,0,9,576,0
"50",0,0.275000005960464,2,24,4,81,1773,0,1,0,5.80000019073486,7.5,1.20000004768372,41,0,21.8888893127441,1.01160097122192,1,0,4,576,0
"51",0,2.03299999237061,2,22,3,79,2896,0,1,0,19.2000007629395,4.5,3.40000009536743,4,1,36.6582260131836,3.01209759712219,1,0,4,484,0
"52",0,0.488000005483627,3,24,4,47,1255,0,0,1,11.3999996185303,5.5,1,30,0,26.702127456665,1.58514523506165,1,0,9,576,0
"53",0,1.06499993801117,4,25,4,79,1684,0,1,0,8.80000019073486,4.40000009536743,1.5,6,0,21.3164558410645,2.36555981636047,1,0,16,625,0
"54",0,0.25,7,28,4,16,158,1,0,0,1.29999995231628,0.600000023841858,1.39999997615814,46,0,9.875,0.916290760040283,1,0,49,784,0
"55",0,1.08249998092651,3,25,2,80,2617,1,0,0,18,2.09999990463257,4.5,3,0,32.7125015258789,2.38185834884644,1,1,9,625,0
"56",1,2.16100001335144,2,24,4,79,2699,0,1,0,15.3999996185303,8.69999980926514,2.09999990463257,5,0,34.1645584106445,3.07315611839294,1,0,4,576,1
"57",1,0.600000023841858,5,27,4,74,877,0,1,0,4.09999990463257,2.70000004768372,0.5,0,0,11.8513517379761,1.7917594909668,1,0,25,729,1
"58",0,0.150000005960464,1,23,4,38,285,1,0,0,1.89999997615814,0.899999976158142,0.400000005960464,34,0,7.5,0.405465096235275,1,0,1,529,0
"59",0,3,3,28,4,82,2853,0,0,1,12,11.8999996185303,1.5,4,0,34.7926826477051,3.40119743347168,1,0,9,784,0
"60",0,NA,2,25,4,66,1382,1,0,0,9.60000038146973,1.89999997615814,5.40000009536743,0,0,20.9393939971924,NA,1,1,4,625,0
"61",1,1.20000004768372,1,23,3,79,1406,0,1,0,8.10000038146973,2.90000009536743,1.29999995231628,9,0,17.7974681854248,2.4849066734314,1,0,1,529,1
"62",0,1.10000002384186,1,24,4,82,2853,1,0,0,12.5,4.19999980926514,2.40000009536743,13,0,34.7926826477051,2.39789533615112,1,0,1,576,0
"63",0,1.24399995803833,2,25,3,80,1507,0,1,0,8,5.59999990463257,0.600000023841858,10,0,18.8374996185303,2.52091717720032,1,1,4,625,0
"64",1,1.25800001621246,6,30,4,82,2654,0,1,0,13,NA,3.59999990463257,0,0,32.365852355957,2.53210830688477,1,0,36,900,1
"65",1,1.27999997138977,9,31,4,69,2591,1,0,0,20.3999996185303,2.20000004768372,3.79999995231628,18,0,37.550724029541,2.54944515228271,1,1,81,961,1
"66",0,0.735000014305115,1,23,4,79,1519,1,0,0,8.5,1.5,1.29999995231628,11,0,19.2278480529785,1.99470031261444,1,0,1,529,0
"67",0,0.902000069618225,1,24,4,82,2172,1,0,0,10.3000001907349,2.29999995231628,4.80000019073486,10,0,26.4878044128418,2.19944429397583,1,0,1,576,0
"68",0,0.300000011920929,5,28,4,71,1163,0,0,1,5.09999990463257,4,1.20000004768372,17,0,16.3802814483643,1.0986123085022,0,0,25,784,0
"69",0,1.49799990653992,3,24,4,42,496,1,0,0,3.90000009536743,1,1.20000004768372,8,0,11.8095235824585,2.70671606063843,1,0,9,576,0
"70",1,0.671999990940094,2,24,4,69,1786,0,0,1,9.19999980926514,6.90000009536743,3.5,22,0,25.8840579986572,1.90508818626404,1,1,4,576,1
"71",0,1.61699998378754,4,27,4,80,2773,0,1,0,17.2999992370605,8.39999961853027,1.5,16,0,34.6624984741211,2.78315758705139,1,0,16,729,0
"72",1,1,11,34,4,82,1230,0,0,1,4.69999980926514,3.59999990463257,0.400000005960464,30,0,15,2.30258512496948,1,0,121,1156,1
"73",1,1.16000008583069,4,24,4,69,1318,0,1,0,8.69999980926514,4.5,1,17,0,19.1014499664307,2.45100498199463,1,1,16,576,1
"74",0,1.12000000476837,4,27,4,82,1296,0,1,0,8.19999980926514,4.90000009536743,0.5,16,0,15.8048782348633,2.41591382026672,1,0,16,729,0
"75",1,3.34299993515015,6,28,4,NA,NA,1,0,0,NA,NA,NA,14,0,NA,3.50945377349854,1,1,36,784,1
"76",0,0.25,3,26,4,76,1097,1,0,0,5.69999980926514,1.20000004768372,2.90000009536743,0,0,14.4342107772827,0.916290760040283,1,0,9,676,0
"77",1,2.84400010108948,10,31,4,62,2324,0,1,0,16.7999992370605,5.59999990463257,5.09999990463257,7,1,37.4838714599609,3.34779667854309,0,1,100,961,0
"78",1,2.41400003433228,4,25,3,79,2738,0,1,0,15,8.10000038146973,4.09999990463257,3,0,34.6582260131836,3.18387031555176,1,1,16,625,1
"79",1,2.09999990463257,13,35,4,51,1022,1,0,0,14.5,1.60000002384186,1.79999995231628,18,0,20.0392150878906,3.04452252388,1,1,169,1225,1
"80",1,0.699999988079071,3,24,4,82,3533,1,0,0,21,4.90000009536743,4.69999980926514,24,1,43.0853652954102,1.94591009616852,1,0,9,576,1
"81",0,1.60000002384186,2,21,2,76,2438,0,1,0,17.5,9.10000038146973,3.59999990463257,1,1,32.0789489746094,2.7725887298584,1,0,4,441,0
"82",1,0.524999976158142,7,29,4,73,1225,1,0,0,5.19999980926514,1.39999997615814,2,0,0,16.7808227539062,1.65822803974152,0,0,49,841,0
"83",0,0.649999976158142,2,24,4,66,1122,1,0,0,6.69999980926514,2,2.90000009536743,24,0,17,1.8718022108078,1,0,4,576,0
"84",0,0.790000021457672,5,31,4,67,1606,1,0,0,9.30000019073486,2.70000004768372,3.09999990463257,0,0,23.9701499938965,2.06686282157898,1,0,25,961,0
"85",0,1.10000002384186,4,28,3,75,1292,0,1,0,4.69999980926514,3.79999995231628,0.5,0,0,17.2266674041748,2.39789533615112,1,0,16,784,0
"86",0,1.20000004768372,3,24,4,81,2370,0,1,0,9.89999961853027,5.40000009536743,2.90000009536743,11,0,29.2592601776123,2.4849066734314,1,0,9,576,0
"87",0,1.54399991035461,7,29,4,75,2571,1,0,0,13.6000003814697,5.09999990463257,5.09999990463257,47,0,34.2799987792969,2.73696160316467,1,1,49,841,0
"88",0,3.17000007629395,11,31,4,80,3277,0,0,1,27.2999992370605,11.8999996185303,3.59999990463257,1,1,40.9625015258789,3.45631670951843,1,0,121,961,0
"89",0,0.224999994039536,2,24,4,47,219,0,0,1,1.89999997615814,1.29999995231628,0.200000002980232,0,0,4.65957450866699,0.810930192470551,1,0,4,576,0
"90",1,2.28299999237061,8,29,4,78,2209,1,0,0,11.6000003814697,4.19999980926514,4.19999980926514,6,0,28.3205127716064,3.12807536125183,1,1,64,841,1
"91",0,2.42799997329712,11,32,4,82,2909,0,1,0,14,10.6000003814697,2.29999995231628,9,0,35.4756088256836,3.18965291976929,1,0,121,1024,0
"92",0,1.04999995231628,1,23,4,64,759,1,0,0,5.30000019073486,1.10000002384186,1.20000004768372,13,0,11.859375,2.35137534141541,1,0,1,529,0
"93",0,0.150000005960464,1,24,4,49,923,0,1,0,8.69999980926514,3.09999990463257,0.600000023841858,0,0,18.8367347717285,0.405465096235275,1,0,1,576,0
"94",0,1.10000002384186,6,29,4,78,1533,1,0,0,7.5,1.79999995231628,3.70000004768372,15,0,19.6538467407227,2.39789533615112,1,0,36,841,0
"95",0,0.150000005960464,1,23,2,37,871,0,1,0,6.90000009536743,NA,1,0,0,23.5405406951904,0.405465096235275,1,1,1,529,0
"96",0,1.69400000572205,5,28,4,37,1022,1,0,0,10,3,6.40000009536743,10,0,27.6216220855713,2.82967758178711,1,0,25,784,0
"97",0,2.83999991416931,3,24,4,14,350,0,0,1,7.40000009536743,6.59999990463257,0.800000011920929,23,0,25,3.34638905525208,1,1,9,576,0
"98",0,1.02300000190735,2,24,4,43,623,0,1,0,6.59999990463257,2.70000004768372,1.10000002384186,14,0,14.4883718490601,2.32532453536987,1,1,4,576,0
"99",1,0.569000005722046,2,25,4,76,1930,0,0,1,8.89999961853027,5.5,1,25,0,25.3947372436523,1.73871028423309,1,0,4,625,1
"100",0,1.22500002384186,4,26,4,75,2118,0,1,0,11.6999998092651,8.69999980926514,1,13,0,28.2399997711182,2.50552582740784,1,1,16,676,0
"101",0,0.649999976158142,2,24,4,40,352,1,0,0,3.59999990463257,0.699999988079071,1.79999995231628,16,0,8.80000019073486,1.8718022108078,1,0,4,576,0
"102",0,0.150000005960464,1,25,4,53,535,0,0,1,2.09999990463257,2.20000004768372,0.300000011920929,0,0,10.0943393707275,0.405465096235275,0,0,1,625,0
"103",1,3.20000004768372,9,33,4,25,556,0,0,1,8.89999961853027,5.19999980926514,1.89999997615814,2,0,22.2399997711182,3.465735912323,0,0,81,1089,0
"104",0,1.70000004768372,4,26,4,76,2253,0,1,0,12.3000001907349,6.80000019073486,1.10000002384186,27,0,29.6447372436523,2.83321332931519,1,1,16,676,0
"105",0,1.4449999332428,2,24,4,65,1515,1,0,0,10.3000001907349,3.59999990463257,2.09999990463257,17,0,23.3076915740967,2.67069435119629,0,0,4,576,0
"106",1,4.13300037384033,5,26,0,79,2685,0,0,1,14.1999998092651,10.8000001907349,3.90000009536743,26,0,33.9873428344727,3.72158861160278,0,0,25,676,0
"107",0,0.150000005960464,1,24,4,27,247,0,1,0,2.59999990463257,2.20000004768372,0.200000002980232,0,0,9.14814853668213,0.405465096235275,1,1,1,576,0
"108",0,1.10000002384186,1,24,4,71,1762,0,1,0,9.5,5.80000019073486,1.29999995231628,12,0,24.8169021606445,2.39789533615112,1,0,1,576,0
"109",0,0.910000026226044,2,25,4,30,923,1,0,0,14.1000003814697,3.59999990463257,3.09999990463257,15,0,30.7666664123535,2.20827436447144,1,0,4,625,0
"110",0,0.800000011920929,4,26,4,73,1617,1,0,0,8.80000019073486,2.70000004768372,2,51,0,22.1506843566895,2.0794415473938,1,0,16,676,0
"111",0,2.40000009536743,11,33,4,81,2278,1,0,0,11.8999996185303,1.89999997615814,4.19999980926514,139,0,28.1234569549561,3.178053855896,1,0,121,1089,0
"112",0,0.150000005960464,1,23,4,81,2700,1,0,0,13.6000003814697,2.90000009536743,5.69999980926514,37,1,33.3333320617676,0.405465096235275,1,0,1,529,0
"113",1,1.85000002384186,12,33,3,80,1597,0,1,0,10.1999998092651,2.29999995231628,1.89999997615814,1,0,19.9624996185303,2.91777062416077,1,0,144,1089,1
"114",0,2,4,25,4,53,1601,0,1,0,19.1000003814697,6.5,1.70000004768372,48,0,30.2075462341309,2.99573230743408,1,1,16,625,0
"115",0,0.311999976634979,4,27,4,37,319,1,0,0,2.29999995231628,2.20000004768372,0.300000011920929,0,0,8.62162208557129,1.13783299922943,1,0,16,729,0
"116",0,1.00200009346008,4,26,4,53,697,1,0,0,7,2.59999990463257,0.699999988079071,9,0,13.1509437561035,2.30458307266235,1,0,16,676,0
"117",1,0.150000005960464,4,26,4,76,1726,1,0,NA,7.69999980926514,2.09999990463257,3.5,40,0,22.7105255126953,0.405465096235275,1,0,16,676,1
"118",1,1.10000002384186,7,29,4,75,1880,0,1,0,11.5,2.20000004768372,2,63,0,25.0666675567627,2.39789533615112,0,0,49,841,0
"119",0,0.25,2,25,4,72,1199,0,0,1,7.19999980926514,4.19999980926514,0.400000005960464,42,0,16.6527786254883,0.916290760040283,0,0,4,625,0
"120",1,0.922000050544739,4,27,4,15,66,0,1,0,2.20000004768372,0.699999988079071,0.100000001490116,12,0,4.40000009536743,2.22137498855591,1,0,16,729,1
"121",1,1.41000008583069,6,28,4,69,2201,0,1,0,11.3999996185303,7.19999980926514,2.5,33,0,31.8985500335693,2.64617490768433,1,1,36,784,1
"122",0,1.18599998950958,2,23,3,63,1358,1,0,0,10.5,2.5,1.5,12,0,21.5555553436279,2.47317147254944,1,1,4,529,0
"123",1,2.00200009346008,5,27,4,81,2999,1,0,0,21.1000003814697,5.40000009536743,2.29999995231628,4,0,37.0246925354004,2.99673175811768,1,0,25,729,1
"124",1,2.4520001411438,8,30,4,76,1910,0,1,0,7.69999980926514,5.40000009536743,1.70000004768372,11,0,25.1315784454346,3.1994891166687,0,0,64,900,0
"125",0,3.05699992179871,6,29,4,72,2410,0,0,1,15.1000003814697,10.1999998092651,1.89999997615814,9,0,33.4722213745117,3.42001914978027,1,0,36,841,0
"126",0,2.25200009346008,3,25,4,78,2776,1,0,0,17.2999992370605,4.5,5,5,0,35.5897445678711,3.11440372467041,1,0,9,625,0
"127",0,0.86599999666214,2,23,4,82,2560,0,1,0,13.5,7.59999990463257,2,8,0,31.2195129394531,2.15871477127075,1,0,4,529,0
"128",0,0.649999976158142,3,25,4,72,1242,1,0,0,6.19999980926514,2,2.29999995231628,21,0,17.25,1.8718022108078,0,0,9,625,0
"129",0,0.150000005960464,4,26,4,30,579,0,1,0,7.80000019073486,4.59999990463257,1.10000002384186,0,0,19.2999992370605,0.405465096235275,0,0,16,676,0
"130",0,1.72199988365173,2,24,4,76,2127,1,0,0,12.6999998092651,4.09999990463257,1.79999995231628,8,0,27.9868412017822,2.84607148170471,1,0,4,576,0
"131",1,0.669999957084656,3,24,4,82,1472,1,0,0,5.30000019073486,1.29999995231628,2.59999990463257,23,0,17.9512195587158,1.90210747718811,1,0,9,576,1
"132",0,0.800000011920929,4,26,4,82,2533,1,0,0,15.3000001907349,3.20000004768372,6.69999980926514,21,0,30.8902435302734,2.0794415473938,1,1,16,676,0
"133",1,1.47000002861023,10,31,4,76,1524,0,1,0,9.60000038146973,8.39999961853027,0.699999988079071,10,0,20.0526313781738,2.68784737586975,1,0,100,961,1
"134",0,1.375,8,31,4,82,1921,0,0,1,3.59999990463257,5.40000009536743,0.800000011920929,69,0,23.4268283843994,2.62103891372681,1,1,64,961,0
"135",0,0.150000005960464,1,26,0,5,33,0,1,0,3,3.20000004768372,0.400000005960464,0,0,6.59999990463257,0.405465096235275,1,1,1,676,0
"136",1,1.60000002384186,5,27,4,49,1053,0,1,0,7.90000009536743,4.90000009536743,1.20000004768372,6,0,21.4897956848145,2.7725887298584,1,0,25,729,1
"137",0,2.73000001907349,2,25,4,70,2428,0,1,0,16.7999992370605,8.60000038146973,4.40000009536743,3,0,34.6857147216797,3.30688667297363,0,1,4,625,0
"138",0,0.375,2,25,4,55,626,0,1,0,4.5,3.59999990463257,0.200000002980232,28,0,11.381817817688,1.32175588607788,1,0,4,625,0
"139",0,2,1,23,4,79,2415,1,0,0,16.6000003814697,4,2.59999990463257,5,1,30.5696201324463,2.99573230743408,1,0,1,529,0
"140",0,0.270000010728836,2,24,4,80,1617,1,0,0,5.90000009536743,1.5,3.59999990463257,34,0,20.2124996185303,0.993251800537109,1,0,4,576,0
"141",1,1.27499997615814,5,27,4,72,2182,1,0,0,14.6999998092651,3.20000004768372,2.40000009536743,38,0,30.3055553436279,2.54553127288818,1,0,25,729,1
"142",1,2.07500004768372,6,28,4,71,2206,1,0,0,13.6999998092651,3.09999990463257,7.19999980926514,48,0,31.0704231262207,3.03254628181458,1,0,36,784,1
"143",1,2.92499995231628,3,24,2,82,3135,1,0,0,18.7999992370605,3.90000009536743,9.60000038146973,2,1,38.2317085266113,3.37587952613831,1,0,9,576,1
"144",1,3.57500004768372,9,30,3,77,1817,0,0,1,9.30000019073486,6.5,0.600000023841858,3,0,23.5974025726318,3.57655024528503,1,0,81,900,1
"145",1,0.600000023841858,1,25,4,79,1950,0,1,0,5.69999980926514,6.19999980926514,1.20000004768372,29,0,24.6835441589355,1.7917594909668,1,0,1,625,1
